l (deg),b (deg),distance (pc)
137.1411038824967,-42.44672579128028,858.6301264185179
145.53276123875165,-50.57813352580078,603.5974193357597
,,
129.0466235741132,-48.09540009625334,3591.5998555449905
133.62321098768095,-40.877011717467646,1188.5643492987306
134.66400322417894,-40.739273925895986,1050.7665074500514
137.11762560215936,-40.75286071776611,830.6848998793132
,,
162.34659055623013,-58.78938061984905,428.11537863724556
152.68638391316995,-59.33265085626946,579.6317560411798
143.3799050412554,-48.66299038974138,644.2281022394127
198.9978682108292,-52.660698566620695,224.634049508303
,,
131.383426092954,-39.057769843874524,1571.2937488056853
146.67093014744498,-56.144884627515154,669.1522717404978
142.25846944982524,-52.35393802803729,757.7881002791265
143.66947913015161,-56.61420836272797,794.5637485205312
146.00727828742134,-52.61789495269918,622.5887020919345
141.76225160984728,-55.81402830289699,868.8194418714234
,,
215.73998501636976,-52.34977898523602,215.2011736684986
,,
,,
140.61167447752416,-56.235785584666495,952.1780165704097
140.60392550674678,-44.041665770636094,685.710620194195
,,
128.04931958661098,-35.84890137940042,3223.9400992471624
134.38395438195082,-50.514517585486956,1398.6532676061647
137.29339873440006,-56.41652809537787,1253.6319752259544
,,
132.71850087488687,-43.272105953170644,1417.9750180170267
130.26736922284925,-43.58878245200904,2196.730269639728
148.41958421381477,-53.24580692498406,567.4399972456116
134.32488534991606,-41.11316831688196,1099.9613682986599
173.65870057484406,-56.47506508618529,319.26501390760984
173.79482920027775,-59.6871364867124,351.91097213059203
138.2657815598263,-53.77592106019965,1050.7582369573217
128.5168660296522,-39.86528707224668,3120.3506877427685
134.7506350186229,-51.16907114959951,1366.8698000893887
133.52049972634413,-44.49536597922007,1313.1750249779138
,,
160.18120880908992,-53.401054231879286,385.64871301309273
141.78313011669482,-42.85018499042727,621.2733701721165
131.99497374681863,-45.79727578802723,1695.037300050202
171.97671678730887,-53.83388185738807,305.0411568282395
128.2760456991344,-37.079017252536055,3093.2235811225323
130.06098879758844,-41.805292407554305,2180.483640415942
139.08506810922373,-47.19006246784511,819.2779835186159
128.45352318891628,-35.25294643664052,2765.877312359779
133.11568986482555,-45.58895090731275,1426.1708226992012
131.79108394027227,-53.67880469017654,2312.4273339653987
,,
149.08035289285968,-57.20672767010673,621.292488804003
125.82672468035032,-38.693088951197545,23864.60005542365
,,
128.04621551712464,-43.90948499558425,4357.781846165241
,,
133.76803836631498,-40.449054076731485,1156.8992136809131
149.60168483168917,-47.05002345241591,463.88595494926676
158.57310765348814,-49.739705634647116,367.43578140467815
127.92508996570956,-43.948302681675074,4608.414092523892
139.4599257678728,-57.02681220775446,1065.888258646254
144.63368420358896,-58.20718374795542,795.1166195874049
131.2768836475027,-50.52615863716755,2253.5038141795503
,,
137.31524037535723,-57.50402835586717,1303.5153373783774
127.47936669573397,-36.03312079089132,4090.108461769008
135.11006327640337,-46.161931767901926,1137.7695515609055
156.03444784994758,-53.28898427681916,431.7628090169648
,,
152.36438050336614,-49.22505204347587,439.6552058556843
132.59311964502996,-47.80194711653687,1638.7634204249403
126.7571884331195,-40.78674266362042,7940.335626584041
187.5267255164901,-64.59483336673925,354.8873939681411
,,
147.5419181124173,-55.256171555259506,625.2275635739576
138.77036593891188,-54.73054592731062,1040.0222294879682
,,
130.0463983241628,-53.804728294614485,3470.3464276306922
150.60627832110868,-51.22459541744623,492.2641503120408
,,
129.4934654869139,-40.85680465495968,2427.781082545719
167.4443190995818,-55.713871504482704,348.7367891540704
142.251900248082,-55.94846592909323,846.0451932996217
135.29692800956377,-57.01187140006607,1580.5820318188746
127.0783288925066,-47.78294414503441,10099.585580965924
,,
,,
,,
128.348229310165,-40.62238648031771,3395.0206754055653
125.9963706388113,-45.29463739265294,65707.22234998828
,,
137.12318687264766,-42.625053609942164,863.3532815919851
,,
,,
133.33655498420882,-48.22777763799549,1492.2736893889282
130.83367553833475,-52.62247943697969,2692.7609132666685
142.83134642206716,-46.162581362074654,626.8469488752887
142.60692140367172,-48.86400956754357,676.6998967898855
131.5706865256975,-45.09702517078153,1783.5393362323955
131.0046125298375,-52.98845143948584,2634.1023923198177
,,
130.2933240094417,-42.36937818341753,2106.80697971872
147.6241927805201,-58.65792491519177,695.6315628426452
130.0259348624565,-40.029443003179004,2090.6235412935034
,,
137.89109373401138,-53.25034396231969,1066.8066265860887
161.26215400734,-61.976336348291404,491.7771720396841
,,
132.387269664804,-50.75025430007914,1863.802527729143
,,
134.9602907805269,-42.553028882748805,1059.575547316387
126.20679870062892,-35.16412352619916,9275.167493575453
134.23970079081835,-41.055345917701956,1109.4208006055915
133.37575762290433,-51.53860966674742,1650.178175171447
143.09778347829243,-46.67152088008909,624.5962931871932
,,
,,
164.29251617859705,-59.32408744214933,416.44604852960254
142.74498929816517,-46.302167861174794,631.9363553050388
,,
173.22492913940445,-64.96857612851048,432.5273644788935
142.57229432778414,-58.2684523294585,898.3503356523347
134.47388460039255,-42.39408032422396,1113.3762160448832
,,
144.32262558739018,-46.640050658201936,584.1057329194451
232.4592290166668,-49.95042939296061,215.07000873894546
143.52740071905154,-50.1626542899663,663.481593476141
,,
163.97265547532982,-60.222901389360516,432.4396160460848
156.96623839619102,-61.47833680736185,543.835887368156
,,
,,
157.81746786175682,-57.21211288325529,458.694204966547
131.49205064723776,-47.12417836494424,1924.067710301665
154.2976914246717,-49.759322664118045,417.1957293863419
223.5769986516067,-49.371524720350095,203.87446038874026
136.8192836715792,-46.627309105356574,973.1461321408466
,,
127.97604063862563,-38.95862608395976,3679.8060048931716
223.69744610043065,-49.74197573203723,205.61540288393144
156.40530427738383,-51.34708994441423,406.15769567762425
,,
130.09927379947183,-36.59874611995077,1885.67472118825
145.76953166515827,-55.60783549687785,687.7195344173778
,,
126.7176241816366,-45.63537778704176,12084.145285739267
136.01059465150905,-41.140179922337936,924.8448365259582
127.65719647247593,-40.879999604175474,4557.964643688303
,,
,,
132.1313204730035,-42.22835931187591,1506.1267110932495
133.73136189326988,-48.8266521794955,1441.7907256971073
139.91935391269695,-42.478373089798815,694.9899617313453
137.0151288169351,-49.37861408450277,1027.8643701832436
135.23540093878523,-50.59119812570859,1271.0827749634595
128.35212777907907,-37.49340234904686,3055.3107745548123
129.56889601420565,-39.60031999489869,2297.7255638861166
,,
133.3569609684423,-39.484609136340616,1191.9670671044444
,,
133.28786926172677,-54.66186835722995,1875.2253832604767
,,
155.78223893339916,-56.30661855474488,474.07092611322076
,,
138.9012734365253,-44.66951044265859,783.2019949234603
131.5708327743708,-45.865364654045564,1824.902163372523
136.78698494921287,-48.12484875853049,1014.4375518289986
,,
128.5517369848211,-38.82621648363752,2984.1526018138757
,,
125.75864608043643,-34.5372131785128,16421.37907730737
125.74268789181986,-37.60438648009268,25265.044130427614
143.27154559806866,-57.50501920045713,838.226202957816
146.50617154981913,-55.36442977031367,658.3895128099821
181.34571987119645,-55.72541264851286,281.1899794522768
130.42801797067142,-38.09517451908662,1828.554728935387
187.96287361845413,-63.04416944181045,332.6693167195596
135.99989493223103,-43.25591464543872,969.4142513857354
,,
128.51565036979923,-49.09419248998875,4593.914557071051
147.1953698150649,-57.88783940417646,691.1539451881598
146.48208843646236,-47.561353110955686,536.3103713911747
136.52866297034632,-53.37224001161857,1213.8404097516711
136.48999647967133,-51.30918783471541,1141.6535947462103
,,
145.78010825254216,-45.07664751905208,525.053101137021
130.59512296396778,-53.640447662173266,2982.567141354303
134.48592116164616,-42.340605869250716,1110.630221346767
,,
132.05795424128007,-42.15072198385842,1520.4019093801116
131.04052827661042,-53.738675672307934,2702.4506882790374
,,
139.25446307998226,-42.04770771390916,721.8267400385733
147.93949727868764,-58.92529795009651,692.2020644121984
144.8177168807481,-47.8154625887283,584.9208665451133
135.73695626753317,-55.010947203291735,1393.8037038386065
132.8429587866764,-49.51905689965429,1666.6649452103538
142.3146025398634,-54.748904723059574,811.147179081052
143.91704200368193,-56.052129155725126,769.4102844747102
150.38839109928554,-57.92572361938433,602.9562269985054
,,
135.7524182932908,-54.3295667031577,1358.1116923064371
132.18224889938313,-44.94141836160256,1606.1775887069089
127.66851343162165,-37.24564609236443,3930.8915685835605
141.5973506586942,-43.31213511821937,634.3324306664431
,,
241.727356156883,-36.05507261999283,180.77240817973473
143.4414397129184,-45.648225277117646,599.0478900692777
125.76511390486989,-36.001429853657605,19143.34676257899
162.3694287616036,-53.933136053536685,370.611904457576
,,
127.91844224861555,-38.313621296069876,3680.722741767905
138.14872745063607,-47.009035317421265,877.2107446745795
,,
126.46040413989272,-35.221166008804694,7352.358350707772
137.18397955938352,-56.02922611538746,1249.30728658209
148.9296406899814,-53.794375816925545,563.9957590469614
,,
,,
,,
130.8823457762572,-48.91800456137165,2301.821657416208
129.90336699544562,-51.51963876080571,3236.223703807934
133.12123624347242,-47.36547078544142,1498.9234180659134
126.10044683091404,-39.498814261327944,15220.982578187833
,,
139.11619631288727,-46.16875602312084,797.8034155160683
,,
,,
156.9751812601891,-53.38757537803585,420.9925054942625
133.58090155935636,-50.549504320548245,1552.5632069905666
206.4683385084182,-59.9994993389883,269.2405332723857
136.05381581057085,-54.64641856193094,1330.2329246276531
,,
130.78851221945223,-36.88035175709531,1659.3181964974506
142.39068418091512,-58.67721327073799,922.450329456177
133.42279265886893,-52.82609825103465,1715.8124030158529
152.83780072013943,-53.22936534619168,478.314424577364
159.06361299225742,-50.3350683281091,367.76648345485376
135.3780747731091,-53.87787346608092,1392.9773448113597
141.8175818604595,-51.272921364733925,755.8121791267464
221.4275812654179,-52.890956044789355,219.94757797195905
132.71579304493957,-41.34062938159235,1353.4366348192625
,,
161.0509757881151,-55.573091755071566,400.581125324985
,,
135.59106717707465,-54.7999017036503,1405.6833114506144
,,
153.96860412283377,-57.24484189178459,517.4658074967368
,,
132.64099918524653,-55.922613452782066,2189.9246068192956
126.21352820079554,-45.381147817925964,28155.307979808644
129.79985239484694,-40.1164282766838,2207.0964443147523
,,
129.99435000366904,-51.54606006337449,3160.8951286081315
,,
,,
131.6176338982802,-45.15043746153016,1772.7377035186398
135.64847966328085,-46.55655908474314,1086.9591048695602
221.00090582254245,-56.91795300440538,244.71064345062265
133.4526869264516,-43.21421802988819,1283.344505394252
158.46082978320996,-50.16237281536334,372.275391880749
194.14568450521324,-63.74007568966714,325.2929713680804
152.17384056249975,-51.7558096095505,470.99737587320027
140.32377218839002,-46.89289943426659,745.0800748091863
,,
138.06268146860057,-58.05229366739095,1244.0315697409958
127.85578285310288,-53.200892815295866,8680.134105933214
164.1584167418059,-64.29728171422431,502.56100987820014
140.96048787156954,-45.00642738017046,684.3513892460923
141.50293641372565,-44.106366737935595,648.7024365928315
138.18624238654388,-42.07435872850285,782.4542256093707
133.99200452193548,-42.087650228615594,1169.1178736789757
130.12364840230137,-49.976350452636076,2854.8497976107546
130.48693375193437,-37.367566445713685,1776.7419769316118
166.9421134254936,-56.0622508802,355.83175068593783
129.82665990309516,-45.416952096967556,2588.2835458740146
,,
,,
129.04991116016134,-38.15882232281182,2524.206026022169
,,
146.72736727523858,-58.24470705632012,715.473650471267
,,
129.46020187408442,-44.03166754828726,2714.0620557061798
,,
128.57327835609368,-37.312542336111264,2830.8250161568894
,,
,,
134.12520503931714,-56.34567049807392,1783.501047422106
132.37835052401863,-40.84300520955695,1403.6928766706214
133.2115939283045,-49.14954301107881,1562.4610823070627
127.34197413249326,-34.61306635554262,4150.825286920928
128.240118440032,-36.935681038183255,3121.6095939269735
,,
152.32363802146176,-53.681191245275656,493.1378065121865
132.19809546921192,-40.84834426939713,1441.7954614283792
133.90797621165942,-40.642698806378014,1143.084671556105
164.82513727142546,-56.229213317080564,373.7959688612893
154.75312184948527,-52.299685049674686,437.85771742609643
,,
145.60168576723137,-51.43210435013351,615.2643542748002
170.77589748175657,-51.89279126451761,296.427739328528
126.23650548171962,-38.719317493487964,11670.255643829738
145.51223523248697,-51.278715482190506,615.5048938569511
168.58485435431496,-64.0372492531937,452.54825047294344
,,
,,
150.38345667643884,-56.07901548737249,568.6761447144272
128.22745642080096,-38.49452687676863,3297.5837186240333
146.0736645462284,-47.74691616906053,549.087575341083
,,
,,
126.67221046335185,-36.28044652033906,6591.348412536253
,,
,,
151.9337201225007,-59.40387444597163,597.4991938754664
,,
,,
144.97611132724055,-60.55379340600723,851.5586834167161
,,
131.98218787640488,-42.07547937245699,1536.098110206157
133.77590574097775,-55.76238352026772,1827.4939539418322
136.699404005416,-43.64253811426932,916.6977337213249
128.30482946834803,-51.117347408583385,5689.200841607548
139.7700267607891,-57.54051632027462,1060.9225150064235
,,
,,
,,
,,
142.3004567079431,-44.3127361977698,621.0902843798528
155.14517362174894,-61.898794688187934,585.2632868012344
,,
,,
125.940668048915,-38.02156943248766,17162.591735653776
170.77712340921397,-57.78460864528913,348.43368728553355
158.24208470169916,-58.00130367959221,464.6789040015978
139.5298740028486,-45.36453523071605,760.0494856325344
134.956824789426,-40.78552035239972,1019.981743875831
144.22275955933534,-52.60214817334554,682.1107572615091
,,
153.94094539594622,-55.056459790116484,484.8624629854427
134.19313189571096,-44.64654516917449,1214.364111797462
140.71365874657633,-45.25987335380067,699.3457020962235
130.68031363181188,-45.22958948135918,2119.8825234773335
211.53932803404456,-58.06290277265595,251.31803926721796
,,
195.22628220515998,-55.59498073184587,247.60166663793464
189.29551136384856,-58.51638792409371,281.6596917376179
129.15161927331616,-40.18418421286191,2606.76422332554
,,
171.14411101483566,-52.50976891774701,299.09062095990754
132.01157549941203,-42.95383900744997,1564.1478729845367
,,
176.659218215063,-52.958792344690856,277.60694724565235
139.2474643372391,-43.5730853604644,745.644179916455
171.40452373671258,-60.83451149739193,380.82283863928416
150.9221481521793,-53.2702855261663,513.4412344593784
128.50397593257293,-40.079455519567084,3161.8137512841977
152.96120394596977,-55.44502199243955,507.0816778072408
,,
126.69181833290212,-47.05841375057457,14625.417500922387
131.80347506851652,-42.66010684820508,1604.7018135762505
138.43658248079453,-55.09131279369827,1082.4020311815277
129.82823230145817,-54.740739303960325,3899.573250838771
,,
131.55918106719864,-52.07564831774033,2267.143715677839
209.5036844879106,-59.96535682290237,267.39098339372435
141.70012259284238,-57.663597512504225,929.854028386515
140.44900906911764,-58.529556970282314,1046.5852215950454
,,
134.77920525580353,-48.64795969788033,1263.5157884151406
,,
,,
135.70176582465564,-41.6591305489606,963.6540105159041
,,
132.53916433790803,-43.7380825429595,1473.9267924701983
,,
140.3015808018054,-58.200044436595505,1044.9174725557918
129.6091168585531,-38.56392777244405,2213.213699657595
132.56410977527156,-48.505399851703395,1683.8805039495503
126.4225786361379,-34.53153093497639,7328.743098738479
134.1394454286351,-46.78917275119117,1292.9388464931376
136.41793613089422,-42.119763127128806,909.5074281572931
168.68156582530472,-63.81347656898425,447.6586991104984
150.01362012806595,-56.81656842669095,590.6007631811584
,,
,,
127.26578903149755,-47.77035907186165,8617.179124540957
,,
,,
130.26003597047685,-39.27955102611421,1950.8168930304118
128.0087747278811,-35.951280644361276,3288.9271996357556
131.98680073749898,-38.80479798906543,1419.9601828384755
139.89753564776456,-52.06831722819736,879.4177447344042
,,
126.26346942968078,-41.65038763657492,14861.236388213507
143.19633844207337,-50.85569519527184,688.5262065958538
130.85343949519043,-45.98312000838063,2096.6344834677925
133.45689294660662,-42.61888157543386,1264.6215663510648
134.6306591845266,-55.608982148669654,1622.2745939471497
144.35429054274377,-59.0877169864505,833.7889902338112
143.8525858028347,-57.18256737745324,801.9070851989203
,,
,,
,,
135.27531584049984,-53.60266419546116,1396.3632715081835
137.36147204527617,-53.421601682833966,1124.6215319160576
,,
,,
,,
